Scn , Algo , IS , Ndrones , wCoverage , wDist , OOPenalty , InitCov , FinCov , InitTotDist , FinTotDist , InitMeanDist , FinMeanDist , InitMedianDist , FinMedianDist , InitOverflow , FinOverflow , InitOverlap , FinOverlap , Time
s1 , GA , 0 , 10 , 1 , 0 , 0 , 67.29 , 99.98 , 3112.844 , 2981.743 , 311.2844 , 298.1743 , 329.6332 , 300.1073 , 51.66 , 28.62 , 0.13 , 29.92 , 1652.587
s1 , GA , 0 , 12 , 1 , 0 , 0 , 73.98 , 99.91 , 3518.392 , 3399.393 , 293.1993 , 283.2827 , 301.786 , 270.8044 , 40.03 , 23.66 , 0.08 , 52.31 , 1230.49
s1 , GA , 0 , 2 , 1 , 0 , 0 , 21.94 , 40.05 , 475.5999 , 596.9557 , 237.8 , 298.4778 , 237.8 , 298.4778 , 78.44 , 0 , 0 , 0 , 361.918
s1 , GA , 0 , 4 , 1 , 0 , 0 , 57.24 , 75.36 , 1322.591 , 1185.109 , 330.6476 , 296.2772 , 335.7056 , 293.7988 , 36.72 , 3.43 , 0.04 , 2.27 , 153.467
s1 , GA , 0 , 6 , 1 , 0 , 0 , 69.59 , 95.38 , 1760.005 , 1851.193 , 293.3342 , 308.5321 , 287.3185 , 304.7224 , 45.97 , 8.09 , 0.04 , 13.18 , 577.942
s1 , GA , 0 , 8 , 1 , 0 , 0 , 75.61 , 99.24 , 2457.351 , 2431.523 , 307.1689 , 303.9404 , 306.4045 , 295.394 , 37.46 , 21.06 , 0.05 , 31.56 , 524.351
s1 , GA , 1 , 10 , 1 , 0 , 0 , 67.29 , 100 , 3112.844 , 3109.217 , 311.2844 , 310.9217 , 329.6332 , 301.6026 , 51.66 , 25.01 , 0.13 , 43.98 , 789.75
s1 , GA , 1 , 12 , 1 , 0 , 0 , 73.98 , 100 , 3518.392 , 3617.525 , 293.1993 , 301.4604 , 301.786 , 316.0176 , 40.03 , 29.44 , 0.08 , 40.35 , 638.985
s1 , GA , 1 , 2 , 1 , 0 , 0 , 21.94 , 40.05 , 475.5999 , 564.7426 , 237.8 , 282.3713 , 237.8 , 282.3713 , 78.44 , 0 , 0 , 0 , 209.304
s1 , GA , 1 , 4 , 1 , 0 , 0 , 57.24 , 76.12 , 1322.591 , 1215.666 , 330.6476 , 303.9165 , 335.7056 , 305.2331 , 36.72 , 2.57 , 0.04 , 2.08 , 153.86
s1 , GA , 1 , 6 , 1 , 0 , 0 , 69.59 , 95.8 , 1760.005 , 1828.028 , 293.3342 , 304.6714 , 287.3185 , 304.5386 , 45.97 , 9.37 , 0.04 , 14.17 , 511.378
