Scn , Algo , IS , Ndrones , wCoverage , wDist , OOPenalty , InitCov , FinCov , InitTotDist , FinTotDist , InitMeanDist , FinMeanDist , InitMedianDist , FinMedianDist , InitOverflow , FinOverflow , InitOverlap , FinOverlap , Time
s2 , GA , 1 , 10 , 1 , 0 , 1 , 67.29 , 84.91 , 3112.844 , 2796.58 , 311.2844 , 279.658 , 329.6332 , 286.0368 , 51.66 , 1.51 , 0.13 , 2.46 , 609.548
s2 , GA , 1 , 12 , 1 , 0 , 1 , 73.98 , 86.77 , 3518.392 , 3437.999 , 293.1993 , 286.4999 , 301.786 , 288.0099 , 40.03 , 2.46 , 0.08 , 3.46 , 657.426
s2 , GA , 1 , 2 , 1 , 0 , 1 , 21.94 , 40.05 , 475.5999 , 608.7587 , 237.8 , 304.3794 , 237.8 , 304.3794 , 78.44 , 0 , 0 , 0 , 196.856
s2 , GA , 1 , 4 , 1 , 0 , 1 , 57.24 , 74.62 , 1322.591 , 1177.851 , 330.6476 , 294.4627 , 335.7056 , 295.8986 , 36.72 , 1.6 , 0.04 , 1.59 , 308.282
s2 , GA , 1 , 6 , 1 , 0 , 1 , 69.59 , 83.69 , 1760.005 , 1859.626 , 293.3342 , 309.9376 , 287.3185 , 306.9933 , 45.97 , 1.57 , 0.04 , 2.68 , 251.646
s2 , GA , 1 , 8 , 1 , 0 , 1 , 75.61 , 83.72 , 2457.351 , 2402.888 , 307.1689 , 300.361 , 306.4045 , 294.4759 , 37.46 , 2.13 , 0.05 , 3.04 , 458.041
s2 , GenSA , 1 , 10 , 1 , 0 , 1 , 67.29 , 89.91 , 3112.844 , 3206.287 , 311.2844 , 320.6287 , 329.6332 , 325.449 , 51.66 , 1.69 , 0.13 , 2.04 , 1000.794
s2 , GenSA , 1 , 12 , 1 , 0 , 1 , 73.98 , 89.53 , 3518.392 , 3367.151 , 293.1993 , 280.596 , 301.786 , 278.7733 , 40.03 , 2.47 , 0.08 , 2.33 , 1000.921
s2 , GenSA , 1 , 2 , 1 , 0 , 1 , 21.94 , 40.05 , 475.5999 , 636.8773 , 237.8 , 318.4386 , 237.8 , 318.4386 , 78.44 , 0 , 0 , 0 , 712.057
s2 , GenSA , 1 , 4 , 1 , 0 , 1 , 57.24 , 75.74 , 1322.591 , 1201.64 , 330.6476 , 300.41 , 335.7056 , 302.2382 , 36.72 , 2.06 , 0.04 , 1.92 , 1001.012
s2 , GenSA , 1 , 6 , 1 , 0 , 1 , 69.59 , 87.1 , 1760.005 , 1795.937 , 293.3342 , 299.3228 , 287.3185 , 303.6279 , 45.97 , 1.45 , 0.04 , 1.84 , 1000.739
s2 , GenSA , 1 , 8 , 1 , 0 , 1 , 75.61 , 90.68 , 2457.351 , 2462.479 , 307.1689 , 307.8099 , 306.4045 , 308.7108 , 37.46 , 2.5 , 0.05 , 3.59 , 1000.938
s3 , GA , 1 , 10 , 1 , 0.5 , 1 , 67.29 , 85.37 , 3112.844 , 2561.078 , 311.2844 , 256.1078 , 329.6332 , 267.8475 , 51.66 , 2.02 , 0.13 , 3.73 , 203.994
s3 , GA , 1 , 12 , 1 , 0.5 , 1 , 73.98 , 85.47 , 3518.392 , 3423.383 , 293.1993 , 285.2819 , 301.786 , 287.7984 , 40.03 , 2.42 , 0.08 , 3.28 , 1156.612
s3 , GA , 1 , 2 , 1 , 0.5 , 1 , 21.94 , 37.74 , 475.5999 , 500.1902 , 237.8 , 250.0951 , 237.8 , 250.0951 , 78.44 , 0.24 , 0 , 0.01 , 163.476
s3 , GA , 1 , 4 , 1 , 0.5 , 1 , 57.24 , 65.85 , 1322.591 , 1083.501 , 330.6476 , 270.8753 , 335.7056 , 276.0894 , 36.72 , 1.21 , 0.04 , 0.19 , 200.942
s3 , GA , 1 , 6 , 1 , 0.5 , 1 , 69.59 , 77.55 , 1760.005 , 1530.649 , 293.3342 , 255.1081 , 287.3185 , 251.54 , 45.97 , 2.56 , 0.04 , 1.38 , 325.477
s3 , GA , 1 , 8 , 1 , 0.5 , 1 , 75.61 , 81.8 , 2457.351 , 2306.312 , 307.1689 , 288.289 , 306.4045 , 276.5034 , 37.46 , 2.41 , 0.05 , 3.2 , 445.347
s3 , GenSA , 1 , 10 , 1 , 0.5 , 1 , 67.29 , 85.19 , 3112.844 , 2257.089 , 311.2844 , 225.7089 , 329.6332 , 249.8214 , 51.66 , 2.72 , 0.13 , 5.56 , 110.396
s3 , GenSA , 1 , 12 , 1 , 0.5 , 1 , 73.98 , 89.66 , 3518.392 , 2776.799 , 293.1993 , 231.4 , 301.786 , 228.8287 , 40.03 , 7.03 , 0.08 , 5.24 , 145.894
s3 , GenSA , 1 , 2 , 1 , 0.5 , 1 , 21.94 , 40.04 , 475.5999 , 507.3471 , 237.8 , 253.6735 , 237.8 , 253.6735 , 78.44 , 0.04 , 0 , 0 , 716.178
s3 , GenSA , 1 , 4 , 1 , 0.5 , 1 , 57.24 , 70.9 , 1322.591 , 1097.269 , 330.6476 , 274.3172 , 335.7056 , 272.2212 , 36.72 , 0.44 , 0.04 , 0.6 , 1000.918
s3 , GenSA , 1 , 6 , 1 , 0.5 , 1 , 69.59 , 72.73 , 1760.005 , 1275.024 , 293.3342 , 212.5041 , 287.3185 , 210.3872 , 45.97 , 0.58 , 0.04 , 0.63 , 1000.72
s3 , GenSA , 1 , 8 , 1 , 0.5 , 1 , 75.61 , 84.85 , 2457.351 , 1985.025 , 307.1689 , 248.1282 , 306.4045 , 269.2607 , 37.46 , 2.46 , 0.05 , 3.52 , 179.229
