Scn , Algo , IS , Ndrones , wCoverage , wDist , OOPenalty , InitCov , FinCov , InitTotDist , FinTotDist , InitMeanDist , FinMeanDist , InitMedianDist , FinMedianDist , InitOverflow , FinOverflow , InitOverlap , FinOverlap , Time
s1 , GA , 0 , 10 , 1 , 0 , 0 , 67.29 , 99.98 , 3112.844 , 2981.743 , 311.2844 , 298.1743 , 329.6332 , 300.1073 , 51.66 , 28.62 , 0.13 , 29.92 , 1652.587
s1 , GA , 0 , 12 , 1 , 0 , 0 , 73.98 , 99.91 , 3518.392 , 3399.393 , 293.1993 , 283.2827 , 301.786 , 270.8044 , 40.03 , 23.66 , 0.08 , 52.31 , 1230.49
s1 , GA , 0 , 2 , 1 , 0 , 0 , 21.94 , 40.05 , 475.5999 , 596.9557 , 237.8 , 298.4778 , 237.8 , 298.4778 , 78.44 , 0 , 0 , 0 , 361.918
s1 , GA , 0 , 4 , 1 , 0 , 0 , 57.24 , 75.36 , 1322.591 , 1185.109 , 330.6476 , 296.2772 , 335.7056 , 293.7988 , 36.72 , 3.43 , 0.04 , 2.27 , 153.467
s1 , GA , 0 , 6 , 1 , 0 , 0 , 69.59 , 95.38 , 1760.005 , 1851.193 , 293.3342 , 308.5321 , 287.3185 , 304.7224 , 45.97 , 8.09 , 0.04 , 13.18 , 577.942
s1 , GA , 0 , 8 , 1 , 0 , 0 , 75.61 , 99.24 , 2457.351 , 2431.523 , 307.1689 , 303.9404 , 306.4045 , 295.394 , 37.46 , 21.06 , 0.05 , 31.56 , 524.351
s1 , GenSA , 0 , 10 , 1 , 0 , 0 , 67.29 , 100 , 3112.844 , 3136.279 , 311.2844 , 313.6279 , 329.6332 , 306.8008 , 51.66 , 41.86 , 0.13 , 37.31 , 363.529
s1 , GenSA , 0 , 12 , 1 , 0 , 0 , 73.98 , 100 , 3518.392 , 3655.719 , 293.1993 , 304.6433 , 301.786 , 285.9476 , 40.03 , 44.47 , 0.08 , 62.32 , 240.814
s1 , GenSA , 0 , 2 , 1 , 0 , 0 , 21.94 , 40.05 , 475.5999 , 597.9451 , 237.8 , 298.9726 , 237.8 , 298.9726 , 78.44 , 0 , 0 , 0 , 729.639
s1 , GenSA , 0 , 4 , 1 , 0 , 0 , 57.24 , 76.48 , 1322.591 , 1233.368 , 330.6476 , 308.342 , 335.7056 , 320.2753 , 36.72 , 2.42 , 0.04 , 2.33 , 1000.749
s1 , GenSA , 0 , 6 , 1 , 0 , 0 , 69.59 , 96.43 , 1760.005 , 1853.226 , 293.3342 , 308.8711 , 287.3185 , 311.6896 , 45.97 , 9.79 , 0.04 , 14.83 , 1000.752
