"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",66,35,139,80,20321,0,5686,0,0,400,300,120000,119970,0,62460,33947,99.975
"2",344,262,123,71,16029,0,3673,0,0,400,300,120000,119970,0,62460,33947,99.975
"3",156,233,151,87,24033,0,1518,0,0,400,300,120000,119970,0,62460,33947,99.975
"4",336,42,151,87,24033,0,6781,0,0,400,300,120000,119970,0,62460,33947,99.975
"5",57,155,146,84,22405,7130,2430,0,0,400,300,120000,119970,0,62460,33947,99.975
"6",247,237,151,87,24033,13589,1982,0,0,400,300,120000,119970,0,62460,33947,99.975
"7",347,161,144,83,21869,10854,2660,0,0,400,300,120000,119970,0,62460,33947,99.975
"8",72,262,148,85,22941,11761,5985,0,0,400,300,120000,119970,0,62460,33947,99.975
"9",211,96,151,87,24033,7397,0,0,0,400,300,120000,119970,0,62460,33947,99.975
"10",188,52,148,85,22941,17990,3232,0,0,400,300,120000,119970,0,62460,33947,99.975
