"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",50,204,117,67,14313,0,1134,0,0,400,300,120000,119886,0,62714,28361,99.905
"2",321,37,148,85,22941,0,5679,0,0,400,300,120000,119886,0,62714,28361,99.905
"3",83,268,146,84,22405,7505,5898,0,0,400,300,120000,119886,0,62714,28361,99.905
"4",234,83,143,82,21369,6622,0,0,0,400,300,120000,119886,0,62714,28361,99.905
"5",178,64,125,72,16493,9855,423,0,0,400,300,120000,119886,0,62714,28361,99.905
"6",73,42,143,82,21369,3665,4669,0,0,400,300,120000,119886,0,62714,28361,99.905
"7",331,262,141,81,20841,0,5073,0,0,400,300,120000,119886,0,62714,28361,99.905
"8",356,149,143,82,21369,8786,3716,0,0,400,300,120000,119886,0,62714,28361,99.905
"9",158,173,108,62,12257,3863,0,0,0,400,300,120000,119886,0,62714,28361,99.905
"10",53,113,117,67,14313,10266,869,0,0,400,300,120000,119886,0,62714,28361,99.905
"11",111,134,72,41,5401,5337,0,1,0,400,300,120000,119886,0,62714,28361,99.905
"12",220,227,151,87,24033,12958,900,0,0,400,300,120000,119886,0,62714,28361,99.905
