"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",188,272,127,73,16953,0,4395,0,0,400,300,120000,120000,0,48417,35331,100
"2",376,228,136,78,19341,0,6124,0,0,400,300,120000,120000,0,48417,35331,100
"3",73,258,144,83,21869,2739,4772,0,0,400,300,120000,120000,0,48417,35331,100
"4",228,58,123,71,16029,0,808,0,0,400,300,120000,120000,0,48417,35331,100
"5",246,179,129,74,17417,4488,0,0,0,400,300,120000,120000,0,48417,35331,100
"6",340,32,134,77,18853,2191,5710,0,0,400,300,120000,120000,0,48417,35331,100
"7",31,61,125,72,16493,0,4581,0,0,400,300,120000,120000,0,48417,35331,100
"8",130,29,113,65,13469,4262,3121,0,0,400,300,120000,120000,0,48417,35331,100
"9",328,117,144,83,21869,15794,615,0,0,400,300,120000,120000,0,48417,35331,100
"10",125,141,137,79,19837,8479,0,0,0,400,300,120000,120000,0,48417,35331,100
"11",296,272,117,67,14313,7821,3423,0,0,400,300,120000,120000,0,48417,35331,100
"12",34,174,103,59,11089,6427,1782,0,0,400,300,120000,120000,0,48417,35331,100
