"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",123,42,143,82,21369,0,4137,0,0,400,300,120000,120000,0,74787,53366,100
"2",358,128,143,82,21369,0,3996,0,0,400,300,120000,120000,0,74787,53366,100
"3",342,250,148,85,22941,3489,5625,0,0,400,300,120000,120000,0,74787,53366,100
"4",320,205,143,82,21369,18182,50,0,0,400,300,120000,120000,0,74787,53366,100
"5",26,70,139,80,20321,5476,6671,0,0,400,300,120000,120000,0,74787,53366,100
"6",214,30,146,84,22405,6192,6319,0,0,400,300,120000,120000,0,74787,53366,100
"7",347,19,151,87,24033,7465,11058,0,0,400,300,120000,120000,0,74787,53366,100
"8",69,248,151,87,24033,0,4825,0,0,400,300,120000,120000,0,74787,53366,100
"9",187,141,144,83,21869,7990,0,0,0,400,300,120000,120000,0,74787,53366,100
"10",210,101,141,81,20841,20230,0,1,0,400,300,120000,120000,0,74787,53366,100
"11",32,147,144,83,21869,13148,5802,0,0,400,300,120000,120000,0,74787,53366,100
"12",207,258,151,87,24033,10914,4883,0,0,400,300,120000,120000,0,74787,53366,100
