"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",30,130,137,79,19837,0,5338,0,0,400,300,120000,120000,0,57208,37687,100
"2",137,231,143,82,21369,668,783,0,0,400,300,120000,120000,0,57208,37687,100
"3",54,245,137,79,19837,10032,3986,0,0,400,300,120000,120000,0,57208,37687,100
"4",174,133,137,79,19837,5549,0,0,0,400,300,120000,120000,0,57208,37687,100
"5",328,117,149,86,23485,449,896,0,0,400,300,120000,120000,0,57208,37687,100
"6",79,22,151,87,24033,4999,8700,0,0,400,300,120000,120000,0,57208,37687,100
"7",203,38,139,80,20321,8609,4351,0,0,400,300,120000,120000,0,57208,37687,100
"8",243,237,151,87,24033,9309,1982,0,0,400,300,120000,120000,0,57208,37687,100
"9",362,237,149,86,23485,8230,7005,0,0,400,300,120000,120000,0,57208,37687,100
"10",330,47,146,84,22405,13110,4646,0,0,400,300,120000,120000,0,57208,37687,100
