"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",276,167,91,52,8645,0,0,0,0,400,300,120000,83289,0,2322,2421,69.4075
"2",328,212,52,30,2909,421,0,0,0,400,300,120000,83289,0,2322,2421,69.4075
"3",128,24,7,4,61,0,0,0,0,400,300,120000,83289,0,2322,2421,69.4075
"4",161,206,108,62,12257,0,0,0,0,400,300,120000,83289,0,2322,2421,69.4075
"5",224,71,106,61,11865,101,0,0,0,400,300,120000,83289,0,2322,2421,69.4075
"6",90,113,139,80,20321,1445,0,0,0,400,300,120000,83289,0,2322,2421,69.4075
"7",2,27,21,12,489,0,207,0,0,400,300,120000,83289,0,2322,2421,69.4075
"8",155,21,7,4,61,0,0,0,0,400,300,120000,83289,0,2322,2421,69.4075
"9",346,61,115,66,13865,142,842,0,0,400,300,120000,83289,0,2322,2421,69.4075
"10",56,29,25,14,657,56,0,0,0,400,300,120000,83289,0,2322,2421,69.4075
"11",44,243,108,62,12257,157,1338,0,0,400,300,120000,83289,0,2322,2421,69.4075
"12",246,264,66,38,4645,0,34,0,0,400,300,120000,83289,0,2322,2421,69.4075
