"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",232,158,49,28,2553,0,0,0,0,400,300,120000,101072,0,3399,1817,84.2266666666667
"2",72,66,125,72,16493,0,310,0,0,400,300,120000,101072,0,3399,1817,84.2266666666667
"3",106,160,47,27,2369,0,0,0,0,400,300,120000,101072,0,3399,1817,84.2266666666667
"4",276,137,47,27,2369,133,0,0,0,400,300,120000,101072,0,3399,1817,84.2266666666667
"5",170,103,89,51,8317,846,0,0,0,400,300,120000,101072,0,3399,1817,84.2266666666667
"6",262,50,106,61,11865,176,596,0,0,400,300,120000,101072,0,3399,1817,84.2266666666667
"7",351,103,92,53,8985,375,110,0,0,400,300,120000,101072,0,3399,1817,84.2266666666667
"8",322,230,139,80,20321,146,570,0,0,400,300,120000,101072,0,3399,1817,84.2266666666667
"9",44,168,72,41,5401,348,0,0,0,400,300,120000,101072,0,3399,1817,84.2266666666667
"10",234,118,26,15,749,97,0,0,0,400,300,120000,101072,0,3399,1817,84.2266666666667
"11",51,250,92,53,8985,404,146,0,0,400,300,120000,101072,0,3399,1817,84.2266666666667
"12",171,228,130,75,17881,874,85,0,0,400,300,120000,101072,0,3399,1817,84.2266666666667
