"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",343,211,111,64,13037,0,273,0,0,400,300,120000,101894,0,2502,1538,84.9116666666667
"2",72,139,132,76,18341,0,183,0,0,400,300,120000,101894,0,2502,1538,84.9116666666667
"3",143,244,96,55,9657,117,0,0,0,400,300,120000,101894,0,2502,1538,84.9116666666667
"4",327,71,134,77,18853,13,433,0,0,400,300,120000,101894,0,2502,1538,84.9116666666667
"5",195,67,117,67,14313,536,17,0,0,400,300,120000,101894,0,2502,1538,84.9116666666667
"6",250,160,72,41,5401,18,0,0,0,400,300,120000,101894,0,2502,1538,84.9116666666667
"7",50,257,87,50,8005,590,258,0,0,400,300,120000,101894,0,2502,1538,84.9116666666667
"8",246,253,92,53,8985,587,200,0,0,400,300,120000,101894,0,2502,1538,84.9116666666667
"9",180,168,61,35,3941,282,0,0,0,400,300,120000,101894,0,2502,1538,84.9116666666667
"10",44,36,72,41,5401,359,174,0,0,400,300,120000,101894,0,2502,1538,84.9116666666667
