"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",226,173,97,56,10005,0,0,0,0,400,300,120000,106826,0,2414,2538,89.0216666666667
"2",323,79,144,83,21869,106,441,0,0,400,300,120000,106826,0,2414,2538,89.0216666666667
"3",234,267,66,38,4645,6,127,0,0,400,300,120000,106826,0,2414,2538,89.0216666666667
"4",148,249,97,56,10005,242,155,0,0,400,300,120000,106826,0,2414,2538,89.0216666666667
"5",334,232,125,72,16493,300,362,0,0,400,300,120000,106826,0,2414,2538,89.0216666666667
"6",62,71,125,72,16493,0,615,0,0,400,300,120000,106826,0,2414,2538,89.0216666666667
"7",136,153,72,41,5401,201,0,0,0,400,300,120000,106826,0,2414,2538,89.0216666666667
"8",384,158,33,19,1193,66,43,0,0,400,300,120000,106826,0,2414,2538,89.0216666666667
"9",186,61,111,64,13037,869,118,0,0,400,300,120000,106826,0,2414,2538,89.0216666666667
"10",51,205,110,63,12637,624,677,0,0,400,300,120000,106826,0,2414,2538,89.0216666666667
