"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",76,199,144,83,21869,0,384,0,0,400,300,120000,107893,0,2197,1828,89.9108333333333
"2",302,272,58,33,3513,0,117,0,0,400,300,120000,107893,0,2197,1828,89.9108333333333
"3",368,268,61,35,3941,38,114,0,0,400,300,120000,107893,0,2197,1828,89.9108333333333
"4",212,236,117,67,14313,435,83,0,0,400,300,120000,107893,0,2197,1828,89.9108333333333
"5",58,59,108,62,12257,121,283,0,0,400,300,120000,107893,0,2197,1828,89.9108333333333
"6",340,52,106,61,11865,0,471,0,0,400,300,120000,107893,0,2197,1828,89.9108333333333
"7",21,282,37,21,1441,90,52,0,0,400,300,120000,107893,0,2197,1828,89.9108333333333
"8",330,172,127,73,16953,959,83,0,0,400,300,120000,107893,0,2197,1828,89.9108333333333
"9",136,282,40,23,1733,95,99,0,0,400,300,120000,107893,0,2197,1828,89.9108333333333
"10",199,84,151,87,24033,459,142,0,0,400,300,120000,107893,0,2197,1828,89.9108333333333
