"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",89,64,87,50,8005,0,0,0,0,400,300,120000,102428,0,8111,6701,85.3566666666667
"2",19,31,46,26,2209,0,210,0,0,400,300,120000,102428,0,8111,6701,85.3566666666667
"3",54,242,104,60,11497,0,311,0,0,400,300,120000,102428,0,8111,6701,85.3566666666667
"4",106,169,40,23,1733,0,0,0,0,400,300,120000,102428,0,8111,6701,85.3566666666667
"5",255,173,70,40,5145,0,0,0,0,400,300,120000,102428,0,8111,6701,85.3566666666667
"6",164,126,59,34,3721,0,0,0,0,400,300,120000,102428,0,8111,6701,85.3566666666667
"7",155,45,89,51,8317,1815,245,0,0,400,300,120000,102428,0,8111,6701,85.3566666666667
"8",35,133,89,51,8317,516,895,0,0,400,300,120000,102428,0,8111,6701,85.3566666666667
"9",276,80,144,83,21869,1700,138,0,0,400,300,120000,102428,0,8111,6701,85.3566666666667
"10",368,88,70,40,5145,1632,262,0,0,400,300,120000,102428,0,8111,6701,85.3566666666667
"11",344,221,132,76,18341,655,1408,0,0,400,300,120000,102428,0,8111,6701,85.3566666666667
"12",179,249,148,85,22941,1793,3232,0,0,400,300,120000,102428,0,8111,6701,85.3566666666667
