"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",146,170,89,51,8317,0,0,0,0,400,300,120000,96429,0,2287,1262,80.3575
"2",30,162,52,30,2909,0,11,0,0,400,300,120000,96429,0,2287,1262,80.3575
"3",78,165,35,20,1313,89,0,0,0,400,300,120000,96429,0,2287,1262,80.3575
"4",200,141,32,18,1073,168,0,0,0,400,300,120000,96429,0,2287,1262,80.3575
"5",70,74,127,73,16953,235,128,0,0,400,300,120000,96429,0,2287,1262,80.3575
"6",321,74,137,79,19837,0,244,0,0,400,300,120000,96429,0,2287,1262,80.3575
"7",234,122,40,23,1733,82,0,0,0,400,300,120000,96429,0,2287,1262,80.3575
"8",268,221,148,85,22941,487,256,0,0,400,300,120000,96429,0,2287,1262,80.3575
"9",66,248,111,64,13037,106,608,0,0,400,300,120000,96429,0,2287,1262,80.3575
"10",186,61,106,61,11865,1120,15,0,0,400,300,120000,96429,0,2287,1262,80.3575
