"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",328,217,141,81,20841,0,451,0,0,400,300,120000,102438,0,3818,2066,85.365
"2",176,34,77,44,6213,0,441,0,0,400,300,120000,102438,0,3818,2066,85.365
"3",58,52,103,59,11089,0,362,0,0,400,300,120000,102438,0,3818,2066,85.365
"4",220,126,101,58,10733,9,0,0,0,400,300,120000,102438,0,3818,2066,85.365
"5",260,44,75,43,5941,381,0,0,0,400,300,120000,102438,0,3818,2066,85.365
"6",349,74,111,64,13037,511,683,0,0,400,300,120000,102438,0,3818,2066,85.365
"7",195,242,108,62,12257,321,118,0,0,400,300,120000,102438,0,3818,2066,85.365
"8",131,101,66,38,4645,387,0,0,0,400,300,120000,102438,0,3818,2066,85.365
"9",84,209,141,81,20841,1647,0,0,0,400,300,120000,102438,0,3818,2066,85.365
"10",29,124,51,29,2725,562,11,0,0,400,300,120000,102438,0,3818,2066,85.365
