"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",220,216,148,85,22941,0,19,0,0,400,300,120000,102349,0,4304,3685,85.2908333333333
"2",91,7,32,18,1073,0,300,0,0,400,300,120000,102349,0,4304,3685,85.2908333333333
"3",314,81,149,86,23485,242,256,0,0,400,300,120000,102349,0,4304,3685,85.2908333333333
"4",85,245,139,80,20321,1738,2003,0,0,400,300,120000,102349,0,4304,3685,85.2908333333333
"5",68,164,21,12,489,180,0,0,0,400,300,120000,102349,0,4304,3685,85.2908333333333
"6",354,231,106,61,11865,474,825,0,0,400,300,120000,102349,0,4304,3685,85.2908333333333
"7",27,155,51,29,2725,38,53,0,0,400,300,120000,102349,0,4304,3685,85.2908333333333
"8",152,88,139,80,20321,1268,0,0,0,400,300,120000,102349,0,4304,3685,85.2908333333333
"9",28,114,18,10,349,0,0,0,0,400,300,120000,102349,0,4304,3685,85.2908333333333
"10",40,58,80,46,6769,364,229,0,0,400,300,120000,102349,0,4304,3685,85.2908333333333
