"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",201,134,117,67,14313,0,0,0,0,400,300,120000,107589,0,5640,7567,89.6575
"2",342,232,118,68,14729,0,484,0,0,400,300,120000,107589,0,5640,7567,89.6575
"3",15,13,25,14,657,0,20,0,0,400,300,120000,107589,0,5640,7567,89.6575
"4",219,253,106,61,11865,402,746,0,0,400,300,120000,107589,0,5640,7567,89.6575
"5",134,154,18,10,349,119,0,0,0,400,300,120000,107589,0,5640,7567,89.6575
"6",342,103,151,87,24033,1995,2607,0,0,400,300,120000,107589,0,5640,7567,89.6575
"7",26,13,18,10,349,218,0,0,0,400,300,120000,107589,0,5640,7567,89.6575
"8",239,42,58,33,3513,24,0,0,0,400,300,120000,107589,0,5640,7567,89.6575
"9",76,75,144,83,21869,842,841,0,0,400,300,120000,107589,0,5640,7567,89.6575
"10",4,149,37,21,1441,11,570,0,0,400,300,120000,107589,0,5640,7567,89.6575
"11",192,41,75,43,5941,2094,65,0,0,400,300,120000,107589,0,5640,7567,89.6575
"12",74,239,144,83,21869,67,2234,0,0,400,300,120000,107589,0,5640,7567,89.6575
