"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",45,22,44,25,2025,0,72,1,0,400,300,120000,116513,0,37778,26824,97.0941666666667
"2",5,25,111,64,13037,1940,7837,0,0,400,300,120000,116513,0,37778,26824,97.0941666666667
"3",168,47,149,86,23485,0,4104,0,0,400,300,120000,116513,0,37778,26824,97.0941666666667
"4",34,138,73,42,5653,0,319,0,0,400,300,120000,116513,0,37778,26824,97.0941666666667
"5",176,159,134,77,18853,4253,0,0,0,400,300,120000,116513,0,37778,26824,97.0941666666667
"6",13,67,49,28,2553,1762,586,0,0,400,300,120000,116513,0,37778,26824,97.0941666666667
"7",235,76,151,87,24033,13783,718,0,0,400,300,120000,116513,0,37778,26824,97.0941666666667
"8",329,220,149,86,23485,31,1247,0,0,400,300,120000,116513,0,37778,26824,97.0941666666667
"9",352,67,146,84,22405,5535,4756,0,0,400,300,120000,116513,0,37778,26824,97.0941666666667
"10",78,252,141,81,20841,1368,3147,0,0,400,300,120000,116513,0,37778,26824,97.0941666666667
"11",85,71,143,82,21369,15904,696,0,0,400,300,120000,116513,0,37778,26824,97.0941666666667
"12",220,279,106,61,11865,1691,3342,0,0,400,300,120000,116513,0,37778,26824,97.0941666666667
