"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",155,95,78,45,6493,0,0,0,0,400,300,120000,118399,0,27389,17460,98.6658333333333
"2",193,251,129,74,17417,0,1925,0,0,400,300,120000,118399,0,27389,17460,98.6658333333333
"3",27,25,70,40,5145,0,1293,0,0,400,300,120000,118399,0,27389,17460,98.6658333333333
"4",60,125,115,66,13865,435,279,0,0,400,300,120000,118399,0,27389,17460,98.6658333333333
"5",328,234,149,86,23485,1446,2406,0,0,400,300,120000,118399,0,27389,17460,98.6658333333333
"6",227,25,111,64,13037,276,3438,0,0,400,300,120000,118399,0,27389,17460,98.6658333333333
"7",63,239,144,83,21869,4017,3289,0,0,400,300,120000,118399,0,27389,17460,98.6658333333333
"8",131,36,78,45,6493,1668,386,0,0,400,300,120000,118399,0,27389,17460,98.6658333333333
"9",345,80,146,84,22405,1684,2750,0,0,400,300,120000,118399,0,27389,17460,98.6658333333333
"10",228,138,115,66,13865,4926,0,0,0,400,300,120000,118399,0,27389,17460,98.6658333333333
"11",133,177,80,46,6769,4311,0,0,0,400,300,120000,118399,0,27389,17460,98.6658333333333
"12",52,48,111,64,13037,9258,1694,0,0,400,300,120000,118399,0,27389,17460,98.6658333333333
