"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",205,248,136,78,19341,0,2094,0,0,400,300,120000,118899,0,22566,21193,99.0825
"2",35,123,115,66,13865,0,2560,0,0,400,300,120000,118899,0,22566,21193,99.0825
"3",73,244,148,85,22941,3519,3370,0,0,400,300,120000,118899,0,22566,21193,99.0825
"4",336,224,148,85,22941,2000,2076,0,0,400,300,120000,118899,0,22566,21193,99.0825
"5",116,58,120,69,15161,1918,636,0,0,400,300,120000,118899,0,22566,21193,99.0825
"6",225,129,117,67,14313,1803,0,0,0,400,300,120000,118899,0,22566,21193,99.0825
"7",225,15,125,72,16493,2781,6156,0,0,400,300,120000,118899,0,22566,21193,99.0825
"8",345,76,148,85,22941,3731,3244,0,0,400,300,120000,118899,0,22566,21193,99.0825
"9",130,152,80,46,6769,3153,0,0,0,400,300,120000,118899,0,22566,21193,99.0825
"10",45,38,91,52,8645,4413,1057,0,0,400,300,120000,118899,0,22566,21193,99.0825
