"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",337,70,139,80,20321,0,1742,0,0,400,300,120000,116620,0,39399,16513,97.1833333333333
"2",83,94,106,61,11865,0,0,1,0,400,300,120000,116620,0,39399,16513,97.1833333333333
"3",35,38,65,37,4405,1088,61,0,0,400,300,120000,116620,0,39399,16513,97.1833333333333
"4",56,236,151,87,24033,107,4863,0,0,400,300,120000,116620,0,39399,16513,97.1833333333333
"5",78,25,65,37,4405,2216,507,0,0,400,300,120000,116620,0,39399,16513,97.1833333333333
"6",56,141,108,62,12257,9783,271,0,0,400,300,120000,116620,0,39399,16513,97.1833333333333
"7",24,5,13,7,177,125,25,0,0,400,300,120000,116620,0,39399,16513,97.1833333333333
"8",197,240,148,85,22941,2172,2075,0,0,400,300,120000,116620,0,39399,16513,97.1833333333333
"9",145,78,146,84,22405,8387,317,0,0,400,300,120000,116620,0,39399,16513,97.1833333333333
"10",336,228,144,83,21869,2084,1988,0,0,400,300,120000,116620,0,39399,16513,97.1833333333333
"11",234,133,137,79,19837,13404,0,0,0,400,300,120000,116620,0,39399,16513,97.1833333333333
"12",225,15,111,64,13037,5053,4664,0,0,400,300,120000,116620,0,39399,16513,97.1833333333333
